"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_2311",-1.36725662361877,3.34065593459226,9.10675483398549,0.00481920339142422,0.0165251311300319,"SL1344_2311"
"SL1344_3354",0.856148241495437,5.20167796560415,9.08772515659509,0.00485871983834365,0.0166476480197652,"yhdT"
"SL1344_4511",0.743699426712824,5.8237778990641,9.07678066542202,0.00488160420470203,0.0167130312179674,"yjjX"
"SL1344_3993",-1.13106370368079,3.92482842997623,9.07117832344644,0.00489336314375602,0.0167402524357599,"SL1344_3993"
"SL1344_1194",-1.53189275766351,3.61294364621563,9.06194643684611,0.00491280661579834,0.0167936997535377,"SL1344_1194"
"SL1344_3135",-0.593618159205559,5.67057769927743,9.05544703518688,0.00492654486389305,0.0168275767068173,"metC"
"SL1344_3343",0.556316168452192,6.49221673193522,9.05363156989154,0.00493038970419352,0.0168276344251822,"maf-b"
"SL1344_0254",-0.510364897030923,7.95604872230804,9.04159659079412,0.00495595926882722,0.0169017819594759,"yafE"
"SL1344_3244",0.658574284951055,5.63195706852244,9.036205009073,0.00496746036812493,0.0169278726963389,"yhbQ"
"SL1344_0113",0.716339456001424,5.0499564867153,9.02275141138561,0.00499628412304087,0.017012908601772,"leuA"
"SL1344_3996",-1.39735223786061,4.69049411655623,9.18919731749934,0.00503886628084353,0.0171446255190311,"rhaB"
"SL1344_P2_0053",0.646268520454038,11.9458544520056,9.07976785253829,0.00506430017630383,0.0172178372583385,"pndC"
"SL1344_3909",0.61810192959071,5.87476638787916,8.98291883446042,0.00508268119249009,0.0172669756740235,"rarD"
"SL1344_2696",1.1146748979944,4.19328917445861,8.95548363405528,0.00514312011369482,0.0174588077372992,"SL1344_2696"
"SL1344_1601",-1.2515135083916,3.66286034555348,8.93689268040582,0.00518451364395593,0.017585742267616,"SL1344_1601"
"SL1344_4372",-1.83970244047238,3.19640578923765,8.92641535536274,0.00520799928333057,0.0176517847721829,"SL1344_4372"
"SL1344_2792",-0.469326114383693,7.5788644637149,8.92430319924598,0.00521274764272201,0.0176542670550123,"nrdE"
"SL1344_0134",0.361186601178407,10.1163004689997,8.91360241414398,0.00523687570553183,0.017722329177458,"lpxC"
"SL1344_0870",0.58133971934613,5.85414714551391,8.90857341278739,0.00524825645218285,0.0177471810490737,"ybjR"
"SL1344_0657",0.627499928550183,6.76261942127668,8.90596170356102,0.00525417728269018,0.017753545991319,"ybeY"
