"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_1487",-0.324944792030245,4.75781748648991,1.03827692760902,0.315472092349571,0.48473097447351,"SL1344_1487"
"SL1344_2610",-0.421382132504071,3.89178438893228,1.03663812007178,0.315848599874498,0.485139917906462,"yfiD"
"SL1344_3410",0.170780878263298,8.23743739245644,1.03411267456287,0.31642999542444,0.485863171458553,"bfr"
"SL1344_1057",0.551901932309935,3.48661450069961,1.03233569649088,0.316839948353245,0.486322769888571,"yccJ"
"SL1344_4415",-0.405818009504043,4.15753871206624,1.02856031072046,0.317713321995296,0.487493111166256,"idnK"
"SL1344_0043",-0.432206247537357,4.40338381104843,1.02682398819409,0.318116083818295,0.487940790113477,"SL1344_0043"
"SL1344_0073",-0.343409556326147,4.03257625113562,1.04650408684701,0.319236261414889,0.489271562399055,"caiB"
"SL1344_1186",-0.441865462934251,5.52399127081936,1.03516847183875,0.319242286681863,0.489271562399055,"SL1344_1186"
"SL1344_1338",-0.444042469231543,3.58289100839849,1.02166187000698,0.319317587016126,0.489271562399055,"sseF"
"SL1344_2460",-0.203515526350123,6.21837673814413,1.02101273946708,0.31946910903841,0.48933317189298,"uraA"
"SL1344_3801",0.217782281228665,5.81072216515666,1.02053487885905,0.319580714916266,0.489333619913586,"SL1344_3801"
"SL1344_0857",0.298201965797669,4.87041051525403,1.01952910439182,0.319815789305077,0.48947825312437,"potI"
"SL1344_3998",0.423051500801385,3.91658174099568,1.01917816973966,0.319897866521,0.48947825312437,"rhaR"
"SL1344_0525",0.666374101029742,3.35650144870479,1.01850538189293,0.320055299119627,0.489548745626264,"arcC"
"SL1344_1523",0.277685463717119,4.72328097677631,1.01558182753197,0.320740632315732,0.490426372055637,"ydcY"
"SL1344_1020",-0.14176652938975,6.95547986080788,1.01330181729835,0.321276488478689,0.491072598208175,"yccW"
"SL1344_4290",0.167937948539535,6.41275374774858,1.01283358432655,0.321386684496115,0.491072598208175,"yjeF"
"SL1344_3893",0.148457262595008,7.28614582081763,1.00939319755671,0.322197935072127,0.49214111277869,"hemC"
"SL1344_2925",-0.450556210739128,3.37012146681391,1.00730971136267,0.322690577395543,0.492722396050993,"cysH"
"SL1344_3919",-0.208436597170485,5.79685333398702,1.00502431010777,0.323232140105817,0.493377947189295,"metE"
"SL1344_0011",0.488804322280299,3.64266427544314,1.00432452510116,0.32339821241448,0.493460097804253,"yaaI"
"SL1344_2206",0.430222646895393,3.97577563263617,0.999703177629236,0.324497864424297,0.494966208191954,"SL1344_2206"
"SL1344_0305",-0.188364167204005,6.43295556369242,0.997412541686625,0.32504480857013,0.495628504500274,"fadE"
"SL1344_1217",-0.355014642284577,4.17053044776804,0.996390044338447,0.325289359468313,0.495829412005099,"yeaK"
"SL1344_1187",0.189842904687254,6.42556123083998,0.994585985331985,0.325721448115685,0.496315939659116,"SL1344_1187"
"SL1344_0732",0.130575355146289,7.65796864557865,0.990999288369947,0.326582821018583,0.497456022591022,"ybgF"
"SL1344_0332",0.306386870512328,4.76006837302493,0.988787122543847,0.3271156389623,0.49755241272536,"stbD"
"SL1344_0453",0.223612415765473,5.39737405365867,0.988601538961347,0.327160392167482,0.49755241272536,"ybaO"
"SL1344_0537",-0.344794365062081,4.00921985398105,0.988387504442166,0.327212016649003,0.49755241272536,"fimI"
"SL1344_4204",-0.202388807653498,6.06032132524628,0.988766261817484,0.327120669078725,0.49755241272536,"yjcD"
"OmrB",0.417131362689776,4.5389092361739,0.989709980027029,0.326893217251894,0.49755241272536,"OmrB"
"SL1344_3043",0.208159266687337,6.69574455974701,0.987856228506909,0.32734020685909,0.49757522453408,"yggB"
"SL1344_2672",-0.37901767200574,4.01004843595333,0.985077678782853,0.328011754103337,0.498423667832102,"SL1344_2672"
"SL1344_2198",0.14732201276991,6.80146716943812,0.98430241475285,0.328199463209208,0.498536572310877,"bcr"
"SL1344_1011",0.276532014270107,5.07818097467964,0.983666466327701,0.328353550402765,0.498598344583958,"sulA"
"SL1344_1091",0.231935806911948,4.98490147804365,0.981215342538608,0.328948371392684,0.499329088619558,"yceE"
"SL1344_0503",-0.35050247916189,4.38788890158372,0.978945126692987,0.329500605797048,0.499994705931592,"sfbA"
"SL1344_2533",0.330610121843358,4.14393318317263,0.97803512263067,0.329722322087811,0.500158498239482,"murQ"
"SL1344_1622",0.177950477753657,6.50080019502275,0.976880167265492,0.330004013158333,0.500413122402218,"sapA"
"SL1344_3088",-0.250962867070105,5.12035043759735,0.975980197648415,0.330223742142376,0.500573644985478,"nupG"
"SL1344_0384",-0.276350136156656,4.75687786180366,0.973315932728328,0.33087540208286,0.501215805498364,"yaiA"
"SL1344_2642",-0.301167268020828,4.31236833343308,0.973545302773683,0.330819230573615,0.501215805498364,"gpF"
"SL1344_4147",-0.450902444645773,3.57550762804467,0.971433242517205,0.331336957178768,0.501742081900746,"SL1344_4147"
"SL1344_2357",-0.224539012126616,5.44540271794665,0.969800803940039,0.331737875886604,0.50217620605975,"fadJ"
"SL1344_1224A",-0.3142622342879,4.52739335419334,0.967033219769973,0.332419102092791,0.50255718655991,"SL1344_1224A"
