"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_2892",0.287757846823259,5.00406956098838,0.455982902582736,0.504108116138359,0.796565560056586,0.796565560056586
"traP",0.29397975036862,3.99920353226725,0.455599691532072,0.504286158698243,0.796565560056586,0.796565560056586
"chiA",-0.184973554466038,5.3746950721386,0.454496445708139,0.504799346743628,0.796842032956454,0.796842032956454
"SL1344_3098",0.355466596873398,4.33469380399095,0.455011212877889,0.504823717421229,0.796842032956454,0.796842032956454
"SL1344_2187",0.243174445151106,5.8750523393717,0.453630492133181,0.505642409341289,0.796989613289462,0.796989613289462
"ccmF2",0.251673372678111,4.79850626707752,0.452931513425737,0.505528857624084,0.796989613289462,0.796989613289462
"norV",0.278618015926838,4.2233260450468,0.453510640023895,0.505258676927312,0.796989613289462,0.796989613289462
"ygbF",0.530689918875321,3.66650952052881,0.45367094719678,0.505545603030473,0.796989613289462,0.796989613289462
"STM3026",0.241033253395088,5.26313421070484,0.452193935765925,0.505873326100446,0.797067792665793,0.797067792665793
"SL1344_1065",0.132009716249928,6.60508432614134,0.451238288558169,0.506320249139409,0.797200506882824,0.797200506882824
"bigA",0.15163589945428,7.00609256617969,0.451798013263711,0.506232828253286,0.797200506882824,0.797200506882824
"yjbQ",0.145753515094661,5.41056848759864,0.450787097302197,0.506531495561448,0.797247566948846,0.797247566948846
"pdxAb",0.198983161602482,5.07704563095443,0.447203100912748,0.508215007367369,0.797343406159576,0.797343406159576
"cdaR",0.265219165805581,4.24906416758825,0.54914504480993,0.509545775347046,0.797343406159576,0.797343406159576
"yaeR",-0.121583273857596,6.0679900915509,0.445318375251082,0.509104261104378,0.797343406159576,0.797343406159576
"SL1344_0344",0.380332926438716,3.48751693360968,0.448032646222882,0.507824473624184,0.797343406159576,0.797343406159576
"secF",-0.111078152528762,9.06435320199871,0.449491248100071,0.507139066506806,0.797343406159576,0.797343406159576
"ybbP",0.121032998368523,6.52278774425354,0.446887487357905,0.508363730434492,0.797343406159576,0.797343406159576
"ybdJ",0.213627216075923,5.46914517618654,0.449819908365952,0.507320805789956,0.797343406159576,0.797343406159576
"SL1344_1177",-0.247734096443357,6.35722844226083,0.450074811390058,0.507801675931423,0.797343406159576,0.797343406159576
"bcr",-0.100965734284865,6.80146716943812,0.448051396254916,0.507815652556632,0.797343406159576,0.797343406159576
"yfcN",-0.160703015348724,5.97704089507428,0.443829404406066,0.509808724163296,0.797343406159576,0.797343406159576
"iroE",0.297996515105995,4.64992952913075,0.446423603640507,0.508582459867213,0.797343406159576,0.797343406159576
"fmt",-0.0805521029804339,9.11539343334632,0.443727047217691,0.509857214448264,0.797343406159576,0.797343406159576
"comC",-0.809953124742215,3.08685259182158,0.44412359844544,0.509669399015566,0.797343406159576,0.797343406159576
"rsmD",0.139901089219701,6.73916407602994,0.445803751868443,0.508874989002057,0.797343406159576,0.797343406159576
"lyxK",0.392565238701206,4.26227019567317,0.444176744246794,0.509644237236476,0.797343406159576,0.797343406159576
"rfaC",-0.127662479429264,6.45249866327418,0.448386588908811,0.507658004422984,0.797343406159576,0.797343406159576
"SL1344_4203",-0.231252975502152,4.58634088730305,0.445162359328634,0.509177995204369,0.797343406159576,0.797343406159576
"nrfG",-0.242068691980463,4.53416443249795,0.444482285108303,0.50949962186699,0.797343406159576,0.797343406159576
"ybaM",-0.315104694180256,3.91399495373133,0.440561080700376,0.511361067458141,0.797991924936453,0.797991924936453
"SL1344_3013",0.173485824768695,5.37814236579413,0.440788352691247,0.511252851539809,0.797991924936453,0.797991924936453
"SL1344_3330",0.121231992506489,5.967505152483,0.440814888137326,0.511240219278841,0.797991924936453,0.797991924936453
"ugpQ",-0.182951598594827,6.06774978486298,0.441094180012094,0.511275447025599,0.797991924936453,0.797991924936453
"idnK",0.293021441211532,4.15753871206624,0.442190323224365,0.510586192958641,0.797991924936453,0.797991924936453
"tpke70",-0.155754672967671,6.99037223636745,0.442652630164301,0.510958684929828,0.797991924936453,0.797991924936453
"SL1344_1550",0.230753873920793,4.36685051900279,0.440011288959674,0.511623018877161,0.798117385019162,0.798117385019162
"yidR",-0.138876128560399,5.49946705917333,0.439369042808873,0.511929320827269,0.798311917118367,0.798311917118367
"phnV",0.229051110104072,4.35063751915326,0.437338724184429,0.512899760822465,0.799258188080666,0.799258188080666
"rimM",-0.111174252548635,10.0072284355074,0.437409174018852,0.512866033153238,0.799258188080666,0.799258188080666
"yecE",0.183038880138419,4.78689245171663,0.434128033395414,0.514441049537441,0.799664562608044,0.799664562608044
"SL1344_1973",0.345559660988002,3.5976749693537,0.435458805166542,0.513801219418814,0.799664562608044,0.799664562608044
"cbiL",0.295630302108941,4.86787646897148,0.434134222293177,0.514439975664967,0.799664562608044,0.799664562608044
"rfbG",-0.0966362659276622,7.93504397195766,0.433765087481271,0.514615797911319,0.799664562608044,0.799664562608044
"SL1344_2702",-0.285218006298416,3.6607822501955,0.434539557446511,0.514243039460776,0.799664562608044,0.799664562608044
"yqgE",-0.145664708122722,5.86507356025077,0.434100235788545,0.514454429589349,0.799664562608044,0.799664562608044
"rhaD",0.222775035166311,4.51918839611768,0.434218045326243,0.514397727586838,0.799664562608044,0.799664562608044
"SL1344_P3_0004",0.123279390736825,6.46021132310439,0.435491815928533,0.513785365900062,0.799664562608044,0.799664562608044
"era",0.0934394832433368,7.47692886053154,0.433154087956579,0.514910215290686,0.799839330889702,0.799839330889702
"asr",-0.246565120683053,4.20361436424979,0.431873845280496,0.515528086529076,0.800516237506824,0.800516237506824
"SL1344_2695",-0.233375702400901,4.56333605171155,0.430048599614731,0.516411269985132,0.801604499595565,0.801604499595565
"acrA",-0.108779024048724,7.74605392564729,0.427252693070663,0.517769365028814,0.802031799749185,0.802031799749185
"yliC",0.157712590806925,5.17135304487245,0.454538343073767,0.517200492088635,0.802031799749185,0.802031799749185
