"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_4436",-0.102731627805287,5.3961269049025,0.174987237444947,0.678367071252665,0.999366524090095,0.999366524090095
"uxuR",0.162187633833035,7.67799480601615,0.61323578679653,0.439434867833932,0.999366524090095,0.999366524090095
"trpS2",-0.0202266492180551,4.74076764400098,0.00440195598049071,0.947492876163793,0.999366524090095,0.999366524090095
"SL1344_4440",-0.128615778670993,4.54550484349755,0.163979841240071,0.688073961287177,0.999366524090095,0.999366524090095
"SL1344_4441",-0.315719756547049,4.13062785933377,0.783620515565002,0.385156246494722,0.999366524090095,0.999366524090095
"yjiE",-0.0782831643421325,6.04943714018457,0.12593958087285,0.724887978956568,0.999366524090095,0.999366524090095
"iadA",-0.272224719508564,5.5714207081961,1.40505923699988,0.244158072437776,0.999366524090095,0.999366524090095
"yjiG",0.150539038879903,3.78398149277388,0.163057633088361,0.688904323387824,0.999366524090095,0.999366524090095
"yjiH",0.320465239762287,3.50172376185668,0.281716124784249,0.599054425528799,0.999366524090095,0.999366524090095
"SL1344_4445A",-0.211351816680079,5.52948153606574,1.1090514154713,0.299770320053756,0.999366524090095,0.999366524090095
"yjiJ",-0.145373890941929,5.09177185907343,0.276570342341638,0.602397008755585,0.999366524090095,0.999366524090095
"yjiN",-0.238821309153212,5.05212768689713,0.666002899377023,0.42017183720927,0.999366524090095,0.999366524090095
"yjiO",-0.132300991261605,6.09868342958486,0.191411762170501,0.664666660605424,0.999366524090095,0.999366524090095
"SL1344_4449",0.159410593133708,5.96278267726755,0.722009078161311,0.401473646435412,0.999366524090095,0.999366524090095
"SL1344_4450",0.349519547322173,4.68120333779699,0.910410902924072,0.346790306737132,0.999366524090095,0.999366524090095
"hsdS",-0.20154555721549,5.86368017690975,1.14061791663702,0.310813884459021,0.999366524090095,0.999366524090095
"hsdM",-0.202997855712414,7.16241928760611,0.727562291230852,0.400038464550607,0.999366524090095,0.999366524090095
"hsdR",-0.0805070707687169,6.67996214929667,0.126134507659146,0.724687087430283,0.999366524090095,0.999366524090095
"mrr",0.251644120305316,5.54421700711699,1.52867333748672,0.22484773254802,0.999366524090095,0.999366524090095
"SL1344_4459",0.452780374829679,3.77296838470958,1.06174898035212,0.310145177616469,0.999366524090095,0.999366524090095
"SL1344_4460",-0.427401253866004,4.62031956564512,1.77101762765615,0.19217817595815,0.999366524090095,0.999366524090095
"yjiA",-0.286745120444225,5.13868667037359,1.18543170592344,0.283967222341605,0.999366524090095,0.999366524090095
"yjiX",0.185594913610304,4.30313095615827,0.320509049180008,0.575047528323558,0.999366524090095,0.999366524090095
"cstAb",0.31902859349726,4.69699540491658,0.832620067868568,0.367988718724423,0.999366524090095,0.999366524090095
"tsr",0.148305693315191,8.76787441444672,0.400150976367005,0.532283375955812,0.999366524090095,0.999366524090095
"SL1344_4465",0.160916550670489,6.05997182121908,0.575620078836834,0.453300755552399,0.999366524090095,0.999366524090095
"SL1344_4468",-0.492988807114527,4.2537375167838,0.389788803723539,0.536958383046528,0.999366524090095,0.999366524090095
"SL1344_4470",-0.399571422479593,3.73834397047081,0.523680233467761,0.474262562601889,0.999366524090095,0.999366524090095
"yjjA",-0.10010535536341,5.15645687011795,0.167779417766305,0.684681278780305,0.999366524090095,0.999366524090095
"dnaC",0.0655071421511439,5.7609050439076,0.107091647805456,0.74550117212588,0.999366524090095,0.999366524090095
"dnaT",-0.0149815118175062,5.93295532341705,0.00586252016586027,0.939420066576038,0.999366524090095,0.999366524090095
"SL1344_4476",-0.089845424698114,3.99381489601312,0.0586930422964971,0.810039956289471,0.999366524090095,0.999366524090095
"yjjP",0.371728787872326,4.67123996943198,1.70660909379136,0.200259572388845,0.999366524090095,0.999366524090095
"yjjQ",0.248183188161267,4.10095337631394,0.146418320688004,0.704381361790339,0.999366524090095,0.999366524090095
"bglJ",-0.0072643702463279,4.62751427448865,0.000455998977807442,0.983088922217082,0.999366524090095,0.999366524090095
"SL1344_4480",-0.139499391360641,6.95968978665928,0.55630676869901,0.460916105322869,0.999366524090095,0.999366524090095
"fhuF",-0.033269814022899,8.48252530067864,0.0213437415642325,0.884904674089863,0.999366524090095,0.999366524090095
"SL1344_4482",0.129665491949967,5.77619394530695,0.292724816428283,0.592033404051466,0.999366524090095,0.999366524090095
"SL1344_4483",0.00830806079510009,6.16291545429687,0.00130252297059145,0.971422846502297,0.999366524090095,0.999366524090095
"rsmC",-0.123537448424061,7.69484414541477,0.947456360581012,0.337293183321424,0.999366524090095,0.999366524090095
"holD",0.13306851569471,7.2936964815298,0.62820752250746,0.43355031882234,0.999366524090095,0.999366524090095
"yjjG",0.0899707268523794,6.49253160587955,0.303109195093377,0.585565998536002,0.999366524090095,0.999366524090095
"prfC",-0.210641586960003,8.39838994861224,2.87386639079154,0.0992374459098266,0.999366524090095,0.999366524090095
"osmY",0.179856285420861,5.148410823252,0.435549793862318,0.513757523919299,0.999366524090095,0.999366524090095
"yjjU",0.045409660660143,6.40554033807784,0.0561921020641852,0.814052079877649,0.999366524090095,0.999366524090095
"yjjW",-0.128671259780397,3.81585674573826,0.0620497072867339,0.804794978002534,0.999366524090095,0.999366524090095
"yjjI",0.117241601538179,4.74194353567772,0.0578431992311476,0.81150024595797,0.999366524090095,0.999366524090095
"deoC",0.0252940068129567,4.93455021995324,0.00601489212342373,0.938639457185375,0.999366524090095,0.999366524090095
"deoA",-0.0673771980387292,7.93225959957771,0.0446497568430483,0.834267924095148,0.999366524090095,0.999366524090095
"deoB",-0.0878434772355226,8.27256467673282,0.56442928202274,0.457688412798867,0.999366524090095,0.999366524090095
"deoD",-0.100423956338855,8.69463940288719,0.457563927013136,0.503374716740998,0.999366524090095,0.999366524090095
"stjA",0.443030371833506,5.97879538708489,2.50434069617219,0.122860832876595,0.999366524090095,0.999366524090095
