"","S1","S11","S21","genename"
"SL1344_2648",814,823,799,"rimM"
"SL1344_2783",805,792,807,"stpA"
"SL1344_2904",853,732,764,"nlpD"
"SL1344_4088",755,873,719,"rplK"
"SL1344_4140",762,668,874,"gtrBb"
"SL1344_2628",879,738,657,"aroF"
"SL1344_2654",837,698,727,"grpE"
"SL1344_0441",770,805,670,"tig"
"SL1344_0152",724,860,645,"aceE"
"SL1344_0205",792,684,740,"yadR"
"SL1344_0013",747,758,708,"dnaJ"
"SL1344_3948",758,653,781,"engB"
"SL1344_2806",686,775,730,"csrA"
"SL1344_3394",711,760,705,"rpsN"
"SL1344_3842",738,591,842,"mioC"
"SL1344_2931",689,789,669,"eno"
"SL1344_3403",681,769,691,"rpsS"
"SL1344_0154",704,824,611,"lpdA"
"SL1344_3184",682,691,738,"dnaG"
"SL1344_3399",677,814,617,"rpmC"
"SL1344_3062",693,769,645,"speA"
"SL1344_3391",672,802,611,"rl18"
"SL1344_0597",521,683,840,"ahpF"
"SL1344_P3_0001",643,664,718,"sulII"
"SL1344_3016",629,751,638,"lysS"
"SL1344_2307",574,740,680,"pta"
"SL1344_0172",594,686,710,"yadF"
"SL1344_3185",637,683,663,"rpoD"
"SL1344_1377",752,652,554,"slyB"
"SL1344_0151",653,665,637,"pdhR"
"SL1344_2201",650,681,614,"rplY"
"SL1344_1365",739,585,608,"ydhD"
"SL1344_1129",676,610,631,"plsX"
"SL1344_3708",652,637,628,"spoT"
"SL1344_3829",718,608,590,"glmU"
"SL1344_4294",684,593,629,"miaA"
"SL1344_3036",649,605,636,"ygfE"
"SL1344_3255",640,654,586,"pnp"
"SL1344_P2_0043",756,598,459,"ydfB"
"SL1344_0576",781,372,654,"entF"
"SL1344_3402",578,681,526,"rplV"
"SL1344_3832",529,706,531,"atpD"
"SL1344_2508",568,536,635,"suhB"
"SL1344_0153",609,686,442,"aceF"
"SL1344_3358",621,553,551,"fis"
"SL1344_0119",599,520,595,"mraZ"
"SL1344_0617",601,466,646,"cspE"
"SL1344_3044",545,613,544,"fba"
"SL1344_4508",566,581,547,"yjjK"
"SL1344_P3_0013",529,546,600,"strB"
"SL1344_4266",548,582,531,"groES"
"SL1344_2932",523,581,555,"pyrG"
"SL1344_3838",520,620,515,"atpB"
"SL1344_1405",580,501,554,"rstA"
"SL1344_3408",494,584,526,"rpsJ"
"SL1344_3876",563,519,522,"rho"
"SL1344_3270",571,473,559,"yhbY"
"SL1344_4271",568,571,464,"efp"
"SL1344_0225",488,603,511,"yaeT"
"SL1344_3260",534,588,479,"nusA"
"SL1344_2809",478,577,544,"recA"
"SL1344_1132",558,530,508,"fabG"
"SL1344_4405",550,534,511,"valS"
"SL1344_4174",533,498,552,"lexA"
"SL1344_3353",548,492,539,"accC"
"SL1344_4324",452,626,499,"rpsF"
